file,original,gzip,rar,xz
test_data/urandom/urandom_100000_004.bin,12500,12546,12714,12560
test_data/urandom/urandom_1000000_050.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_051.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_052.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_053.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_054.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_055.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_056.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_057.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_058.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_059.bin,125000,125062,125218,125068
test_data/urandom/urandom_100000_005.bin,12500,12546,12714,12560
test_data/urandom/urandom_1000000_060.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_061.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_062.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_063.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_064.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_065.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_066.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_067.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_068.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_069.bin,125000,125062,125218,125068
test_data/urandom/urandom_100000_006.bin,12500,12546,12714,12560
test_data/urandom/urandom_1000000_070.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_071.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_072.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_073.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_074.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_075.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_076.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_077.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_078.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_079.bin,125000,125062,125218,125068
test_data/urandom/urandom_100000_007.bin,12500,12546,12714,12560
test_data/urandom/urandom_1000000_080.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_081.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_082.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_083.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_084.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_085.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_086.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_087.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_088.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_089.bin,125000,125062,125218,125068
test_data/urandom/urandom_100000_008.bin,12500,12546,12714,12560
test_data/urandom/urandom_1000000_090.bin,125000,125062,125218,125068
